"txid","pair","time","type","ordertype","price","cost","fee","vol"
"TU6SUR-GDYSL-FSDTBQ","XXLMZEUR","2018-02-24 06:50:14.8998","buy","limit",0.29000000,59.99999950,0.09600000,206.89655000
"TZFSGN-XKJ6Y-6GC2S2","BCHEUR","2018-03-04 09:05:00.5158","buy","limit",999.500000,40.000000,0.064000,0.04002001
"TQMM62-FH5IA-TEPRFM","XETHZEUR","2018-03-09 02:10:11.908","buy","limit",550.00000,80.00000,0.12800,0.14545454
"T44UIK-Y3GRD-4ETS3R","BCHEUR","2018-03-09 04:07:55.4831","buy","limit",800.000000,80.000000,0.128000,0.10000000
"TYJJHT-WLC5I-ZOM653","XXBTZEUR","2018-03-11 00:21:14.8865","buy","limit",7000.00000,70.00000,0.11200,0.01000000
"T7KFHL-ZN7SX-CTMMQC","XXLMZEUR","2018-03-16 08:35:33.1473","buy","limit",0.19000000,65.00000000,0.10400000,342.10526315
"TGNROE-DKG3X-CLNTH3","XXRPZEUR","2018-03-17 15:28:28.3179","buy","limit",0.52000000,60.00000000,0.09600000,115.38461538
"TEA3D3-5GR2B-WVJT7U","XETHZEUR","2018-03-26 11:15:28.1141","buy","limit",400.00000,60.00000,0.09600,0.15000000
"TFEVVR-LHAUR-COMJGF","BCHEUR","2018-04-04 09:20:14.1183","buy","limit",550.000000,69.999996,0.112000,0.12727272
"TBWY5J-AT4AO-YZOREO","XLTCZEUR","2018-04-21 11:29:02.7433","buy","limit",115.00000,75.90000,0.12144,0.66000000
"T62YUL-DCVKR-IVKZ6N","XETHZEUR","2018-04-24 08:37:53.2494","buy","limit",561.41000,79.91459,0.20778,0.14234622
"TCZJ6N-LHQST-QCY7EF","EOSEUR","2018-04-24 20:21:18.8181","buy","limit",12.690000,69.398438,0.180436,5.46875000
"TWBDPU-DASMJ-GQLAON","BCHEUR","2018-04-25 10:50:33.1513","sell","stop market",1000.000000,307.292730,0.798961,0.30729273
"TXM3UN-MIHGW-NJVWYP","EOSEUR","2018-04-27 17:02:18.7962","buy","limit",14.000000,80.000000,0.128000,5.71428571
"TQFUOT-ICSVZ-BO4TQR","EOSEUR","2018-04-30 19:31:57.4117","sell","stop market",13.811100,154.450025,0.401571,11.18303571
