aclass,amount,asset,balance,fee,refid,time,type,subtype
currency,0.0100000000,XBT.M,0.0100000000,0.0000000000,RWB5ODH-MUPBYC-I6IMKN,1685571876.0725884,transfer,stakingfromspot
currency,800.00000000,TRX.S,800.00000000,0.00000000,RU23UAH-7QR4TY-GN4NCW,1683757193.8296409,transfer,stakingfromspot
currency,0.06803122,LUNA2,1.24003943,0.00000000,ROLFR7V-JULWNZ-4ZTXWS,1683574493.6073298,transfer,spotfromfutures
currency,0.07792735,LUNA2,1.17200821,0.00000000,ROL2CE7-36RL5R-HNX6DL,1681322025.6030142,transfer,spotfromfutures
currency,0.0700000000,ETH2.S,0.0700000000,0.0000000000,RUNZ4UU-4GZMRK-26KBBN,1681081110.3911235,transfer,stakingfromspot
currency,200.00000000,ADA.S,200.00000000,0.00000000,RUSNJQD-2HG3LR-FGVADM,1679609904.9341583,transfer,stakingfromspot
currency,0.07368751,LUNA2,1.09408086,0.00000000,ROL3XJP-TJSMFE-XUNKK6,1678747453.1511996,transfer,spotfromfutures
currency,200.0000,EUR.M,200.0000,0.0000,RWF46LM-CZ3HVC-Z4ZXYD,1678279272.71734,transfer,stakingfromspot
currency,0.07318150,LUNA2,1.02039335,0.00000000,ROLK2D3-AFEIRZ-Z7TJMD,1676312805.9666305,transfer,spotfromfutures
currency,75.00000000,XTZ.S,75.00000000,0.00000000,RUCRS22-WP5B27-X56PN2,1674256678.3194206,transfer,stakingfromspot
currency,0.07328424,LUNA2,0.94721185,0.00000000,ROLKFKB-5S5WEK-6KBWWS,1673901771.4207778,transfer,spotfromfutures
currency,108.2745,FLR,108.2745,0.0000,ROMCJJ3-2CAUWA-XLVJ2R,1673315519.3539252,transfer,spotfromfutures
currency,5.0000000000,DOT.S,15.0000000000,0.0000000000,RUINTOC-SYNPB7-LILZSH,1673282449.0131981,transfer,stakingfromspot
currency,10.0000000000,DOT.S,10.0000000000,0.0000000000,RUIC3P3-T2IHEL-CNKQZD,1673281349.2408621,transfer,stakingfromspot
currency,8.00000000,ATOM.S,8.00000000,0.00000000,RUGYYRD-RWJQ3N-LVBCZV,1673135404.2032526,transfer,stakingfromspot
currency,200.0000,ZEUR,1127.7294,0.0000,QCCVDPT-G2DCRZ-7NWELU,1672413613.1935446,deposit,
currency,300.0000,ZEUR,1162.5693,0.0000,QCC7GIS-JRJ7ZO-OO5R75,1671549530.8099678,deposit,
currency,0.06658261,LUNA2,0.87392761,0.00000000,ROLUTYA-S5WT5G-ZOBO3U,1671486716.8345017,transfer,spotfromfutures
currency,400.0000,ZEUR,1393.3275,0.0000,QCCOKAS-E73UTN-KDDLVV,1670426356.1077085,deposit,
currency,400.0000,ZEUR,971.2327,0.0000,QCCWN5K-NHIH3O-YQCXUO,1669135126.644194,deposit,
currency,0.5320020,ETHW,0.5320020,0.0000000,RONXWEG-SIJRCS-B5XY4H,1663297591.9026678,transfer,spotfromfutures
currency,500.0000,ZEUR,606.6378,0.0000,QCCBGQR-HZBSWQ-3XGLCN,1655131074.0040398,deposit,
currency,500.0000,ZEUR,1184.4034,0.0000,QCCPWQ7-5BH2GT-IAHWPT,1653662949.595119,deposit,
currency,500.0000,ZEUR,1355.4461,0.0000,QCCVFWF-7V63KU-K7PY5X,1652883715.5926254,deposit,
currency,500.0000,ZEUR,660.4375,0.0000,QCCHXYC-WVCA7Q-VJCTHX,1652374879.2426994,deposit,
currency,500.0000,ZEUR,1062.8940,0.0000,QCC2ZUZ-5PVE4K-KGV2WH,1652195736.866747,deposit,
currency,500.0000,ZEUR,697.6092,0.0000,QCCHOZC-CPIRXE-KBVGUF,1652160019.427794,deposit,
currency,500.0000,ZEUR,1868.0646,0.0000,QCCITOF-PPETNK-OLGTLV,1651504723.3285737,deposit,
currency,500.0000,ZEUR,2902.4911,0.0000,QCCM7AK-Z7PDFB-5WD56O,1648565296.2795699,deposit,
currency,500.0000,ZEUR,1368.4684,0.0000,QCCCTIH-5SZ6XF-5ADFMA,1647272133.2554438,deposit,
currency,500.0000,ZEUR,858.5546,0.0000,QCCVM7M-QOEQHJ-VWQ67N,1646070720.7610152,deposit,
currency,150.0000,ZEUR,274.7060,0.0000,QCCGCPB-G6HM62-RJZ7CN,1645769731.5891335,deposit,
currency,150.0000,ZEUR,312.4905,0.0000,QCCWUXD-VP7JJQ-LUXNIA,1645545030.6372972,deposit,
currency,150.0000,ZEUR,568.5453,0.0000,QCC2IZP-ZCBQVE-CUIZL5,1644941210.744532,deposit,
currency,200.0000,ZEUR,273.9659,0.0000,QCCMCOZ-MQTDKB-J2Y7RB,1643729770.6001647,deposit,
currency,200.0000,ZEUR,245.8464,0.0000,QCCAN3H-2GGNXK-5BTGVW,1643128003.7535152,deposit,
currency,100.0000,ZEUR,631.0713,0.0000,QCCLPAN-TCO2Y2-VE664L,1642781742.132281,deposit,
currency,100.0000,ZEUR,1039.5135,0.0000,QCCHU4H-JXEOSB-W3XNEU,1642521029.5499525,deposit,
currency,100.0000,ZEUR,685.0407,0.0000,QCCSVEG-X6ZKU5-VC3T4D,1641831591.6278749,deposit,
currency,100.0000,ZEUR,1659.3444,0.0000,QCCQ7SS-X6K3FU-XXDLQL,1641224175.7678041,deposit,
currency,150.0000,ZEUR,289.0903,0.0000,QCCNPUG-KLDZMU-HENZAW,1626706225.1227484,deposit,
currency,150.0000,ZEUR,170.9397,0.0000,QCC22DJ-5GS33Z-GCXTIN,1625064664.4480727,deposit,
currency,100.0000,ZEUR,101.3917,0.0000,QCCI6SZ-7RDC2N-OQB2CS,1589207118.0601318,deposit,
currency,100.0000,ZEUR,106.5597,0.0000,QCCMVUH-ETE5S5-NEOHL7,1584117725.8514016,deposit,
currency,100.0000,ZEUR,126.5514,0.0000,QCCGCZB-DESSAL-SWQ6TT,1583919771.3053963,deposit,
currency,100.0000,ZEUR,151.5363,0.0000,QCCZK72-YYTDKC-YGJZYN,1573135829.4553838,deposit,
currency,100.0000,ZEUR,101.6163,0.0000,QCC6GM3-WKWDSI-SS4QNA,1570727371.99167,deposit,
currency,100.0000,ZEUR,101.7763,0.0000,QCCTV7V-26UGDG-JI6V2H,1569422620.1821887,deposit,
currency,100.0000,ZEUR,116.9303,0.0000,QCCYO45-TYNYJX-KTEHS2,1566204281.4304314,deposit,
currency,100.0000,ZEUR,103.2759,0.0000,QCCC2Z3-52K5IR-VHCAV5,1563525774.506128,deposit,
currency,100.0000,ZEUR,100.4162,0.0000,QCCRS5P-37OLZS-JC5N7Q,1553790096.841878,deposit,
currency,100.0000,ZEUR,100.9468,0.0000,QCCZXU7-7CHMRG-CGBLMH,1549030276.539761,deposit,
currency,100.0000,ZEUR,101.9081,0.0000,QCCJYWU-ZNTXU5-REPVO6,1547214955.0367758,deposit,
currency,80.0000,ZEUR,122.1001,0.0000,QCCEOSA-VIJPZL-4P4DDU,1545400646.1539364,deposit,
currency,80.0000,ZEUR,90.1769,0.0000,QCC7AX4-NX7Z6C-TSVWZ4,1544622711.813496,deposit,
currency,80.0000,ZEUR,80.2889,0.0000,QCCZNMJ-DH4AVQ-K7TX3P,1542981253.301577,deposit,
