pair,time,type,ordertype,price,cost,fee,vol
UNIEUR,2024-03-02 03:50:39,sell,limit,11.160,72.540,0.11606000,6.500
BCHEUR,2024-03-02 07:30:36,sell,limit,372.000,89.280,0.14284800,0.24000000
FLOWEUR,2024-03-02 13:22:52,sell,limit,1.130,30.058,0.04809000,26.600
FLOWEUR,2024-03-02 13:22:58,sell,limit,1.130,62.602,0.10016000,55.400
XTZEUR,2024-03-02 15:44:06,sell,limit,1.260,94.500,0.15120000,75.000
BCHEUR,2024-03-02 23:25:52,sell,limit,447.000,93.870,0.15019200,0.21000000
FLOWEUR,2024-03-03 07:27:23,buy,limit,1.000,13.238,0.02118000,13.238
FLOWEUR,2024-03-03 07:27:23,buy,limit,1.000,52.762,0.08442000,52.762
XDGEUR,2024-03-03 07:27:28,buy,limit,0.11700000,66.690,0.10670400,570.000
XDGEUR,2024-03-03 19:07:13,sell,limit,0.14000000,77.000,0.12320000,550.000
DOTEUR,2024-03-04 13:01:15,sell,limit,9.500,90.250,0.14440000,9.500
BCHEUR,2024-03-04 14:02:36,buy,limit,402.000,68.340,0.10934400,0.17000000
XETCZEUR,2024-03-04 22:50:37,sell,limit,33.120,96.048,0.15367680,2.900
XXBTZEUR,2024-03-04 23:03:04,sell,limit,62640.000,100.224,0.16036000,0.00160000
APTEUR,2024-03-05 16:36:30,sell,limit,12.290,92.175,0.14748000,7.500
XXBTZEUR,2024-03-05 19:38:23,buy,limit,56376.000,67.651,0.10824000,0.00120000
DOTEUR,2024-03-05 19:53:02,buy,limit,8.550,68.400,0.10944000,8.000
SNXEUR,2024-03-05 19:53:44,buy,limit,3.600,64.800,0.10368000,18.000
ADAEUR,2024-03-05 19:54:45,buy,limit,0.61200000,66.096,0.10575400,108.000
BCHEUR,2024-03-05 19:54:46,buy,limit,361.000,64.980,0.10396800,0.18000000
XDGEUR,2024-03-05 19:55:04,buy,limit,0.12600000,65.520,0.10483200,520.000
APTEUR,2024-03-05 19:56:10,buy,limit,11.000,66.000,0.10560000,6.000
XTZEUR,2024-03-05 19:56:12,buy,limit,1.130,65.540,0.10486400,58.000
LINKEUR,2024-03-05 19:57:07,buy,limit,15.570,65.394,0.10463000,4.200
FLOWEUR,2024-03-05 19:57:09,buy,limit,0.90000000,65.700,0.10512000,73.000
FLOWEUR,2024-03-05 21:56:04,sell,limit,1.080,91.800,0.14688000,85.000
FLOWEUR,2024-03-06 02:04:53,buy,limit,1.000,60.000,0.09600000,60.000
UNIEUR,2024-03-06 04:52:04,sell,limit,13.400,46.900,0.07504000,3.500
XDGEUR,2024-03-06 04:57:34,sell,limit,0.15100000,75.500,0.12080000,500.000
APTEUR,2024-03-06 06:46:35,sell,limit,13.200,72.600,0.11616000,5.500
XETHZEUR,2024-03-06 11:18:34,sell,limit,3561.000,56.361,0.09018000,0.01582742
XETHZEUR,2024-03-06 11:18:34,sell,limit,3561.000,7.817,0.01251000,0.00219515
XETHZEUR,2024-03-06 11:18:34,sell,limit,3561.000,7.817,0.01251000,0.00219515
XETHZEUR,2024-03-06 11:18:34,sell,limit,3561.000,7.817,0.01251000,0.00219515
XETHZEUR,2024-03-06 11:18:34,sell,limit,3561.000,14.554,0.02329000,0.00408713
ATOMEUR,2024-03-06 21:17:50,sell,limit,12.600,7.911,0.01265800,0.62786765
ATOMEUR,2024-03-06 21:20:29,sell,limit,12.600,86.589,0.13854200,6.872
ALGOEUR,2024-03-07 00:17:04,sell,limit,0.24500000,93.100,0.14896000,380.000
FLOWEUR,2024-03-07 01:40:45,sell,limit,1.200,78.000,0.12480000,65.000
XTZEUR,2024-03-07 04:30:58,sell,limit,1.360,93.840,0.15014400,69.000
XDGEUR,2024-03-07 05:38:46,buy,limit,0.13600000,68.000,0.10880000,500.000
SOLEUR,2024-03-07 11:29:30,sell,limit,132.200,92.540,0.14806000,0.70000000
DOTEUR,2024-03-07 11:56:15,sell,limit,10.260,76.950,0.12312000,7.500
EOSEUR,2024-03-07 18:47:49,sell,limit,1.100,93.500,0.14960000,85.000
BATEUR,2024-03-07 19:14:32,sell,limit,0.32200000,20.922,0.03347500,64.976
BATEUR,2024-03-07 19:15:09,sell,limit,0.32200000,69.504,0.11120700,215.852
BATEUR,2024-03-07 19:16:13,sell,limit,0.32200000,4.564,0.00730200,14.173
AAVEEUR,2024-03-08 00:01:15,sell,limit,125.000,75.000,0.12000000,0.60000000
APTEUR,2024-03-08 15:05:11,buy,limit,11.900,65.450,0.10472000,5.500
DOTEUR,2024-03-08 16:02:48,buy,limit,9.230,10.111,0.01618000,1.095
DOTEUR,2024-03-08 16:02:51,buy,limit,9.230,59.114,0.09458000,6.405
XDGEUR,2024-03-09 16:50:58,sell,limit,0.16300000,78.240,0.12518400,480.000
MATICEUR,2024-03-10 13:37:26,sell,limit,1.140,94.620,0.15139200,83.000
SCEUR,2024-03-10 21:06:01,sell,limit,0.01100000,51.864,0.08298300,4714.927
SCEUR,2024-03-10 21:06:02,sell,limit,0.01100000,38.336,0.06133700,3485.073
LINKEUR,2024-03-10 22:28:44,sell,limit,18.700,71.683,0.11469200,3.833
LINKEUR,2024-03-10 22:29:10,sell,limit,18.700,12.467,0.01994800,0.66669693
XDGEUR,2024-03-11 00:52:23,buy,limit,0.14700000,22.475,0.03595993,152.891
XDGEUR,2024-03-11 00:52:24,buy,limit,0.14700000,45.145,0.07223207,307.109
XXRPZEUR,2024-03-11 15:53:34,sell,limit,0.62000000,95.480,0.15276800,154.000
FLOWEUR,2024-03-11 16:49:02,sell,limit,1.440,95.040,0.15206000,66.000
SNXEUR,2024-03-11 23:09:19,sell,limit,4.320,73.440,0.11750000,17.000
UNIEUR,2024-03-12 17:22:50,buy,limit,12.000,66.000,0.10560000,5.500
WAVESEUR,2024-03-13 03:19:11,sell,limit,3.600,50.000,0.08000000,13.889
WAVESEUR,2024-03-13 03:19:46,sell,limit,3.600,40.000,0.06400000,11.111
ALGOEUR,2024-03-13 10:45:26,sell,limit,0.29400000,91.140,0.14582400,310.000
WAVESEUR,2024-03-13 18:34:07,sell,limit,4.320,90.720,0.14515200,21.000
XDGEUR,2024-03-14 04:13:19,sell,limit,0.17600000,79.200,0.12672000,450.000
