ACLASS,AMOUNT,ASSET,BALANCE,FEE,TIME,TYPE,SUBTYPE
currency,150.0,ZEUR,150.0,0.0,2017-10-31 14:39:07.988257885,deposit,
currency,100.0,ZEUR,100.8949,0.0,2017-11-08 14:38:09.990740061,deposit,
currency,100.0,ZEUR,101.6963,0.0,2017-11-28 14:16:23.633914948,deposit,
currency,100.0,ZEUR,152.1171,0.0,2017-12-04 14:54:31.224762917,deposit,
currency,150.0,ZEUR,152.5721,0.0,2017-12-19 14:55:02.765706062,deposit,
currency,100.0,ZEUR,107.3401,0.0,2017-12-27 18:23:24.339930058,deposit,
currency,150.0,ZEUR,171.6178,0.0,2018-01-04 11:23:52.672720909,deposit,
currency,100.0,ZEUR,107.0058,0.0,2018-01-18 11:51:33.409519911,deposit,
currency,100.0,ZEUR,163.3558,0.0,2018-01-19 16:33:14.365372896,deposit,
currency,100.0,ZEUR,103.3558,0.0,2018-01-24 14:08:53.808042049,deposit,
currency,100.0,ZEUR,133.3558,0.0,2018-01-31 16:44:55.580873013,deposit,
currency,100.0,ZEUR,103.2758,0.0,2018-02-06 14:43:51.578721046,deposit,
currency,100.0,ZEUR,103.1208,0.0,2018-02-13 14:13:49.094485998,deposit,
currency,100.0,ZEUR,133.0088,0.0,2018-02-22 14:05:29.272738934,deposit,
currency,100.0,ZEUR,102.8008,0.0,2018-03-01 15:46:07.087594986,deposit,
currency,100.0,ZEUR,162.7368,0.0,2018-03-07 14:02:37.455720901,deposit,
currency,100.0,ZEUR,102.4808,0.0,2018-03-09 18:13:28.662630081,deposit,
currency,100.0,ZEUR,132.3688,0.0,2018-03-15 14:05:07.004152060,deposit,
currency,100.0,ZEUR,107.1688,0.0,2018-03-23 13:49:21.273256063,deposit,
currency,100.0,ZEUR,147.0728,0.0,2018-04-03 13:55:35.898483992,deposit,
currency,100.0,ZEUR,176.9608,0.0,2018-04-13 08:53:20.015984057,deposit,
currency,100.0,ZEUR,120.817,0.0,2018-04-24 15:25:27.036429882,deposit,
currency,100.0,ZEUR,110.9804,0.0,2018-05-23 12:51:59.531985998,deposit,
currency,100.0,ZEUR,116.1327,0.0,2018-06-12 13:09:48.743107080,deposit,
currency,100.0,ZEUR,136.0047,0.0,2018-06-19 16:13:22.771112919,deposit,
currency,100.0,ZEUR,101.7903,0.0,2018-06-25 15:36:10.158570051,deposit,
currency,100.0,ZEUR,121.6623,0.0,2018-07-11 13:00:25.227442026,deposit,
currency,100.0,ZEUR,101.4703,0.0,2018-07-25 12:57:10.625758886,deposit,
currency,100.0,ZEUR,107.3711,0.0,2018-07-31 13:03:03.321885109,deposit,
currency,100.0,ZEUR,107.2111,0.0,2018-08-07 14:31:21.532556057,deposit,
currency,100.0,ZEUR,100.9758,0.0,2018-08-17 12:47:53.012475967,deposit,
currency,100.0,ZEUR,100.8158,0.0,2018-08-29 12:46:10.493187904,deposit,
currency,100.0,ZEUR,100.6441,0.0,2018-09-12 12:49:32.112500906,deposit,
currency,100.0,ZEUR,120.5161,0.0,2018-09-27 13:17:36.869613886,deposit,
currency,100.0,ZEUR,100.3241,0.0,2018-10-18 12:54:36.553828955,deposit,
currency,100.0,ZEUR,112.1833,0.0,2018-10-30 14:05:54.448935986,deposit,
currency,80.0,ZEUR,140.5129,0.0,2018-11-16 13:57:52.300309896,deposit,
currency,80.0,ZEUR,80.2889,0.0,2018-11-23 13:54:13.301577091,deposit,
currency,80.0,ZEUR,90.1769,0.0,2018-12-12 13:51:51.813496113,deposit,
currency,80.0,ZEUR,122.1001,0.0,2018-12-21 13:57:26.153935909,deposit,
currency,100.0,ZEUR,101.9081,0.0,2019-01-11 13:55:55.036775112,deposit,
currency,100.0,ZEUR,100.9468,0.0,2019-02-01 14:11:16.539761066,deposit,
currency,100.0,ZEUR,100.4162,0.0,2019-03-28 16:21:36.841877937,deposit,
currency,100.0,ZEUR,103.2759,0.0,2019-07-19 08:42:54.506128072,deposit,
currency,100.0,ZEUR,116.9303,0.0,2019-08-19 08:44:41.430430889,deposit,
currency,100.0,ZEUR,101.7763,0.0,2019-09-25 14:43:40.182188034,deposit,
currency,100.0,ZEUR,101.6163,0.0,2019-10-10 17:09:31.991669893,deposit,
currency,100.0,ZEUR,151.5363,0.0,2019-11-07 14:10:29.455383062,deposit,
currency,100.0,ZEUR,126.5514,0.0,2020-03-11 09:42:51.305396080,deposit,
currency,100.0,ZEUR,106.5597,0.0,2020-03-13 16:42:05.851401091,deposit,
