pair,time,type,ordertype,price,cost,fee,vol
XXRPZEUR,2017-10-31 19:17:23,buy,market,0.17247,68.988,0.1793688,400
XETHZEUR,2017-11-01 14:13:47,buy,market,258.8,56.936,0.14803,0.22
XXBTZEUR,2017-11-01 14:15:29,buy,market,5698.6,22.7944,0.05927,0.004
XLTCZEUR,2017-11-09 21:32:48,buy,market,57.16,7.01925,0.01825,0.1228
XLTCZEUR,2017-11-09 21:32:48,buy,market,57.3,50.26356,0.13069,0.8772
XXBTZEUR,2017-11-24 12:57:56,buy,limit,6950,41.7,0.06672,0.006
XXBTZEUR,2017-11-29 15:37:20,buy,limit,9000,49.5,0.0792,0.0055
XETHZEUR,2017-12-06 16:59:56,buy,limit,374.6,37.46,0.05994,0.1
XETHZEUR,2017-12-06 16:59:56,buy,limit,374.6,18.73,0.02997,0.05
XXRPZEUR,2017-12-14 21:38:52,sell,market,0.702,280.8,0.73008,400
XETHZEUR,2017-12-14 21:40:51,sell,market,560.01,207.2037,0.53873,0.37
XXBTZEUR,2017-12-19 21:17:21,buy,limit,15000,75,0.12,0.005
XXBTZEUR,2017-12-22 14:13:52,buy,limit,10000,70,0.112,0.007
XXRPZEUR,2017-12-29 20:34:19,buy,market,1.71,85.5,0.2223,50
XXRPZEUR,2018-01-04 18:46:53,buy,limit,2.48,74.4,0.11904,30
XETHZEUR,2018-01-10 21:40:41,buy,limit,1060,60,0.096,0.05660377
XETHZEUR,2018-01-14 05:16:08,buy,limit,1100,29.997,0,0.02727
XXBTZEUR,2018-01-18 13:17:57,buy,limit,9700,43.65,0,0.0045
XXRPZEUR,2018-01-19 17:08:41,buy,limit,1.3,69.99999999,0,53.84615384
XETHZEUR,2018-01-19 17:11:31,buy,limit,875,90,0,0.10285714
XXRPZEUR,2018-01-30 01:31:32,buy,limit,1,70,0,70
XXBTZEUR,2018-01-31 17:59:11,buy,limit,8000,80,0,0.01
XXLMXXBT,2018-02-01 17:33:11,buy,limit,0.00004885,0.014990794,0.000038976,306.8739771
XXBTZEUR,2018-02-03 03:15:26,buy,limit,6600,49.99995,0.08,0.00757575
BCHEUR,2018-02-10 15:38:42,buy,limit,1000,40,0.064,0.04
XETHZEUR,2018-02-11 07:43:50,buy,limit,650,59.995,0.09599,0.0923
XXRPZEUR,2018-02-20 22:43:17,buy,limit,0.85,69.99999999,0.112,82.35294117
XXRPZEUR,2018-02-23 01:02:08,buy,limit,0.7,70,0.112,100
XXLMZEUR,2018-02-24 06:50:15,buy,limit,0.29,59.9999995,0.096,206.89655
BCHEUR,2018-03-04 09:05:01,buy,limit,999.5,40,0.064,0.04002001
XETHZEUR,2018-03-09 02:10:12,buy,limit,550,80,0.128,0.14545454
BCHEUR,2018-03-09 04:07:55,buy,limit,800,80,0.128,0.1
XXBTZEUR,2018-03-11 00:21:15,buy,limit,7000,70,0.112,0.01
XXLMZEUR,2018-03-16 08:35:33,buy,limit,0.19,65,0.104,342.1052632
XXRPZEUR,2018-03-17 15:28:28,buy,limit,0.52,60,0.096,115.3846154
XETHZEUR,2018-03-26 11:15:28,buy,limit,400,60,0.096,0.15
BCHEUR,2018-04-04 09:20:14,buy,limit,550,69.999996,0.112,0.12727272
XLTCZEUR,2018-04-21 11:29:03,buy,limit,115,75.9,0.12144,0.66
XETHZEUR,2018-04-24 08:37:53,buy,limit,561.41,79.91459,0.20778,0.14234622
EOSEUR,2018-04-24 20:21:19,buy,limit,12.69,69.398438,0.180436,5.46875
BCHEUR,2018-04-25 10:50:33,sell,stop market,1000,307.29273,0.798961,0.30729273
EOSEUR,2018-04-27 17:02:19,buy,limit,14,80,0.128,5.71428571
EOSEUR,2018-04-30 19:31:57,sell,stop market,13.8111,154.450025,0.401571,11.18303571
XXRPZEUR,2018-05-01 11:57:48,buy,limit,0.68,80,0.128,117.6470588
XXBTZEUR,2018-05-04 05:40:57,buy,limit,7990,79.99995,0.128,0.01001251
XXLMZEUR,2018-05-06 09:10:18,buy,limit,0.33,100,0.16,303.030303
EOSEUR,2018-05-11 09:18:40,buy,limit,13,80,0.128,6.15384615
BCHEUR,2018-05-17 22:14:00,buy,limit,1000,80,0.128,0.08
XLTCZEUR,2018-05-23 17:48:13,sell,stop market,100,166,0.4316,1.65999998
EOSEUR,2018-05-23 20:12:05,buy,limit,9.43,80,0.128,8.48356309
BCHEUR,2018-05-28 05:45:08,buy,limit,800,80,0.128,0.1
EOSEUR,2018-06-10 16:59:22,buy,limit,11,100,0.16,9.09090909
XXLMZEUR,2018-06-12 18:17:44,buy,limit,0.2,80,0.128,400
EOSEUR,2018-06-20 22:15:55,buy,limit,9,80,0.128,8.88888888
EOSEUR,2018-06-23 05:36:41,buy,limit,7.2,54,0.0864,7.5
BCHEUR,2018-06-28 02:46:13,buy,limit,610,79.999999,0.128,0.13114754
EOSEUR,2018-07-11 19:13:44,buy,limit,5.95,60,0.096,10.08403361
XETHZEUR,2018-07-12 06:30:24,buy,limit,370,60,0.096,0.16216216
XXLMZEUR,2018-07-26 06:57:01,sell,limit,0.297,297,0.4752,1000
XXLMZEUR,2018-07-26 21:03:43,buy,limit,0.27,100,0.16,370.3703704
BCHEUR,2018-07-28 11:10:51,buy,limit,700,99.999998,0.16,0.14285714
XXRPZEUR,2018-07-30 16:21:37,buy,limit,0.38,90,0.144,236.8421053
XLTCZEUR,2018-07-30 17:25:31,buy,limit,70,100,0.16,1.42857142
XXLMZEUR,2018-07-31 20:56:57,buy,limit,0.23,100,0.16,434.7826087
XXBTZEUR,2018-08-08 05:33:21,buy,limit,5539.5,25.98026,0.06755,0.00469
